??/??/1996 | McCabe joins the FBI [see: Jan 29, 2018 CBS News]
07/07/1996 | McCabe joins FBI (p. 8) [see: Oct 15, 2018 @FBIRecordsVault]
??/??/2009 | Deripaska courted by FBI agents (one is McCabe) to assist in recovery of CIA agent Levinson in Iran
09/27/2009 | McCabe's last grade change (p. 6) [see: Oct 15, 2018 @FBIRecordsVault]
09/27/2009 | CONV TO SES CAR (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
09/30/2009 | INDIV CASH AWAR (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
11/06/2010 | REASSIGNMENT (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
11/18/2010 | CHG IN NON-CPDF (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
12/15/2010 | SES PERFORMANCE (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
04/10/2011 | REASSIGNMENT (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
06/05/2011 | REASSIGNMENT (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
06/05/2011 | MISC PAY ADJ (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
12/02/2011 | SES PERFORMANCE (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
06/17/2012 | REASSIGNMENT (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
06/17/2012 | MISC PAY ADJ (p. 10) [see: Oct 15, 2018 @FBIRecordsVault]
09/06/2015 | REASSIGNMENT (p. 11) [see: Oct 15, 2018 @FBIRecordsVault]
01/29/2016 | FBI.gov: "Andrew McCabe Named Deputy Director of the FBI"
02/07/2016 | REASSIGNMENT (p. 11) [see: Oct 15, 2018 @FBIRecordsVault]
07/30/2016 | Bruce Ohr calls McCabe [see: September 6, 2018 The Hill]
08/03/2016 | Bruce Ohr meets with Andrew McCabe and Lisa Page [see: September 6, 2018 The Hill]
08/12/2016 | Matthew Axelrod (to McCabe): FBI NY agents "disregarding or disobeying their instructions" regarding MYE
09/07/2016 | Intelligence and National Security Summit, attended by Schiff, McCabe, Comey, Brennan, Carlin, Adm. Rogers, Shawn Henry
10/21/2016 | Strzok: “...Toscas now aware NY has hrc-huma emails via weiner invest...George wanted to ensure info got to Andy."
