| 2016_Dec_?? | 0000 | Kushner meets with Ambassador Kislyak at Trump Tower
| 2016_Dec_?? | 0000 | Kushner meets a second time with Ambassador Kislyak at Trump Tower, as well as head of VEB, Sergey N. Gorkov
| 2017_Jan_31 | 1112 | Steele: "We can't allow our guy to be forced to go back home. It would be disastrous all round, though his position right now looks stable."
| 2017_Mar_17 | 1602 | Warner: "Just tried to call but now going into skif"
| 2017_Mar_25 | 1428 | Waldman: "Deripaska is in London Monday-Thursday and I might be able to arrange a mtg w him too if you wish. I discusssed it with him today and he seemed interested."
| 2017_Mar_27 | 0732 | Natasha Bertrand: "Kushner met with Kislyak & Sergey Gorkov, chief of Russia's Vnesheconombank, in Dec. Now the Senate wants to question him (via @maggieNYT)"
| 2017_Mar_27 | 0844 | John Schindler: "Oh really? 'the Russian ambassador said he wanted Kushner to meet with Sergey Gorkov, the chief of Vnesheconombank'"
| 2017_Mar_27 | 0934 | goodlittletiger: "is Buryakov still on jail? Might he have info on tRump/Putin relationship that he can trade?" |
| 2017_Mar_27 | 1844 | SimsonSchwalben: "@ScottPelley just said Evgeny Buryakov will be released after 10 months of his 30 month sentence for espionage. Anyone know why? #Resist" |
| 2017_Mar_27 | 1847 | dcpoll: "Russian spy/VEB banker convicted in 2016 will be released this Sat - early - via @CBSNews. Quid pro quo w/Kushner? #Trumprussia #maddow" |
| 2017_Mar_27 | 1848 | SimsonSchwalben: "Why is Evgeny Buryakov only serving 10 of his 30 month sentence for espionage? #VEB @POTUS #Resist" |
| 2017_Mar_27 | 1908 | goodlittletiger: "Question for Intel folks: Might Buryakov still have info that could help his current situation of incarceration? @MelissaJPeltier @th3j35t3r" |
| 2017_Mar_27 | 1921 | forestland6: "Under oath, if he lies he must be subject to criminal charges! If not, forget it Buryakov out in 10 months? Not 30?" |
| 2017_Mar_27 | 1923 | forestland6: "@MarkWarner I am stunned to hear on CBS Eve News that Evgeny Buryakov is being released after serving only 10 mo. of 30 mo. sentence True?" |
| 2017_Mar_27 | 1924 | forestland6: "Kushner meets with VEB head & VEB covered spy is released after 10 mos. of 30 mos. sentence?  CBS reported, not confirmed by other sources." |
| 2017_Mar_27 | 2007 | Ukrainik: "while #TrumprRussia investigations ramp up #Kremlin's spy Buryakov, sentenced in 2016, is being released from jail " |
| 2017_Mar_27 | 2025 | forestland6: "@PreetBharara Is it true that Evgeny Buryakov will be released early after serving only 10 mos. of 36 mo. sentence for spying? Commuted?" |
| 2017_Mar_27 | 2036 | forestland6: "Possibly Buryakov will serve 30 mos minus good behavior time as he was arrested Jan 2015. As of now he's served over 2 yrs. Maybe CBS error?" |
| 2017_Mar_27 | 2059 | WmSeed: "@JoaquinCastrotx  Who authorized early release of Evgeny Buryakov?" |
| 2017_Mar_27 | 2100 | WmSeed: "@DavidCornDC  Who authorized early release of Evgeny Buryakov?" |
| 2017_Mar_27 | 2100 | WmSeed: "@Lawrence  Who authorized early release of Evgeny Buryakov?" |
| 2017_Mar_27 | 2101 | WmSeed: "@jaketapper  Who authorized early release of Evgeny Buryakov?" |
| 2017_Mar_27 | 2103 | WmSeed: "@RepSwalwell  Who authorized early release of Evgeny Buryakov?" |
| 2017_Mar_27 | 2105 | WmSeed: "@maddow  Who authorized early release of Evgeny Buryakov?" |
| 2017_Mar_27 | 2144 | HenryWallaceVP: "@POTUS Why is Evgeny Buryakov of VEB  BANK being released after serving only 10 months of his 30 month sentence?" |
