Aug ??, 2010 | Buryakov arrives in the U.S.
Nov 22, 2010 | Sporyshev's first day as a diplomat
Mar ??, 2010 | FBI begins recording meetings (over 50 in total) between Buryakov, Sporyshev, and Podobnyy

Apr ??, 2012 | Sporyshev attends an oil and gas conference; he meets UCE-1, who poses as an analyst at an NYC energy firm
Dec 13, 2012 | Podobnyy's first day as a diplomat (that we know of)

Jan ??, 2013 | Podobnyy meets Male-1 at an energy symposium in NYC
Jan 18, 2013 | Carter Page likely attends the Asia Society symposium in NYC on this day; likely meets with Podobnyy
Jan 31, 2013 | First known recording from inside the Rezidentura
Mar ??, 2013 | Podobnyy and Carter Page meet for coffee; Carter shares his NYU lecture notes; Podobnyy shows little interest
Apr ??, 2013 | Podobnyy and Sporyshev are secretly recorded within the Rezidentura at least six times from Apr-May 2013
Apr 08, 2013 | Podobnyy tells Sporyshev how he intends to trick Male-1 into handing over sensitive documents
Jun ??, 2013 | Carter Page meets with FBI agents at NYC's Plaza Hotel regarding at least two of his meetings with Podobnyy
Jun 13, 2013 | FBI agents interview Male-1 about his relationship with Podobnyy
Sep 12, 2013 | Podobnyy's last day as a diplomat
Dec ??, 2013 | FBI installs audio & video surveillance inside Buryakov's house on Leibig Avenue bit.ly/2Q6T5mN

Sep ??, 2014 | FBI ceases physical & electronic surveillance of Buryakov, Sporyshev, and Podobnyy sometime mid-Sep 2014
Nov 21, 2014 | Sporsyshev's last day as a diplomat
