| ??? ??, 1996 | McCabe joins the FBI [see: Jan 29, 2018 CBS News]
| ??? ??, 2009 | Deripaska courted by FBI agents (one is McCabe) to assist in recovery of CIA agent Levinson in Iran
| Sep 27, 2009 | McCabe's last grade change [se: Oct 15, 2018 FBI Vault]
| Jan 29, 2016 | FBI.gov: "Andrew McCabe Named Deputy Director of the FBI"
| Jul 30, 2016 | Bruce Ohr calls McCabe [see: September 6, 2018 The Hill]
| Aug 03, 2016 | Bruce Ohr meets with Andrew McCabe and Lisa Page [see: September 6, 2018 The Hill]
| Aug 12, 2016 | Matthew Axelrod (to McCabe): FBI NY agents "disregarding or disobeying their instructions" regarding MYE
| Sep 07, 2016 | Intelligence and National Security Summit, attended by Schiff, McCabe, Comey, Brennan, Carlin, Adm. Rogers, Shawn Henry
| Oct 21, 2016 | Strzok: “...Toscas now aware NY has hrc-huma emails via weiner invest...George wanted to ensure info got to Andy."
| Oct 26, 2016 | McCabe, Lynch, and William Sweeney Jr. talk about leaks, including some about Eric Garner
| Oct 27, 2016 | Weiner laptop obstruction raised at Comey staff meeting (McCabe joines via conference call)
| Oct 30, 2016 | WSJ: "FBI in Internal Feud Over Hillary Clinton Probe" (McCabe leaks to Devlin Barrett, OIG finds to be misconduct)
| Oct 31, 2016 | Comey and McCabe have face-to-face conversation about 10/30 WSJ article
| Nov 01, 2016 | McCabe recuses himself from Clinton Foundation investigation
| Nov 02, 2016 | Grassley sends letter to Comey about the relationship between Andrew McCabe, Jill McCabe, and Terry McAuliffe
| Nov 29, 2016 | Page: "God, the mye letters re Andy ask for SOOOOOO much information."
| Nov 29, 2016 | Strzok: "Can we tailor what we send, ie, give them some subset [re: McCabe] of what they're asking for?"
| Mar 10, 2017 | Carter Page meets with FBI agents under McCabe's command [see: Sep 20, 2018 @carterwpage]
| Mar 16, 2017 | Carter Page meets with FBI agents under McCabe's command [see: Sep 20, 2018 @carterwpage]
| Mar 30, 2017 | Carter Page meets with FBI agents under McCabe's command [see: Sep 20, 2018 @carterwpage]
| Jul 28, 2017 | McCabe interviewed by OIG (later determined to have lied about leaking to WSJ)
| Aug 01, 2017 | McCabe calls OIC to correct statements he gave to investigators on July 28th
| Nov 29, 2017 | OIG questions McCabe, McCabe clarifies further the statements he gave to OIG from August 1, 2018
| Jan 29, 2018 | CBS News: "Deputy FBI Director Andrew McCabe stepping down, CBS News confirms"
| Jan 30, 2018 | WaPo: "Internal Justice Department probe eyes McCabe’s role in final weeks of 2016 election"
| Feb 02, 2018 | NYT: "House Republicans Release Secret Memo Accusing Russia Investigators of Bias" (re: McCabe reliance on dossier)
| Feb 28, 2018 | Office of Professional Responsibility receives OIG report (re: McCabe) [see: Oct 15, 2018 FBI Vault]
| Mar 01, 2018 | NYT: "Andrew McCabe, Ex-Deputy Director of F.B.I., Will Be Faulted for Leaks"
| Mar 14, 2018 | FBI's inspector division (INSD) opens case into McCabe's leak to Wall Street Journal [see: Oct 15, 2018 FBI Vault]
| Mar 14, 2018 | NYT: "Andrew McCabe, a Symbol of Trump’s F.B.I. Ire, Faces Possible Firing"
| Mar 16, 2018 | USA Today: "In war of words with Trump, fired FBI's McCabe says he will no longer be silent"
| Mar 18, 2018 | McCabe scheduled to retire with $2m pension + full benefits
| Apr 13, 2018 | NBC News: "Internal investigation hits McCabe for misleading statements"
| Apr 19, 2018 | WaPo: "Inspector general referred findings on McCabe to U.S. attorney for consideration of criminal charges"
| Sep 06, 2018 | WaPo: "Prosecutors use grand jury as investigation of Andrew McCabe intensifies"
| Sep 20, 2018 | @carterwpage: "In meetings with agents under Mr. McCabe's command on Mar. 10, 16 & 30, 2017..."
| Oct 15, 2018 | FBI Records (The Vault): "Deputy Director McCabe Office of Professional Responsibility Investigation Part 01 of 01"
