https://courtlistener.com/docket/6359557/united-states-v-schulte 

May ??, 2008 | Schulte begins work as an engineer for IBM; ends 11/2009 bit.ly/2IzDIEW

Jan 08, 2009 | Schulte messages user "Sturm"; Sturm asks for and receives Schulte's email address bit.ly/2C1RHwO
Jan 17, 2009 | Schulte and Sturm discuss how to store illicit images on Schulte's server bit.ly/2RaoPwB
Mar 12, 2009 | Schulte, Sturm, and "hpb" discuss where to obtain illicit images; later, Limewire bit.ly/2Qqn4WT, bit.ly/2sbVv9Z
Mar 13, 2009 | Schulte, Sturm, and "niche" discuss access to Schulte's server bit.ly/2CUarQp
Jun 28, 2009 | Schulte, Sturm, and others discuss distribution bit.ly/2Vztyq3

Jan ??, 2010 | Schulte begins work as a systems engineer at the NSA; ends 5/2010 bit.ly/2NrcBul
May ??, 2010 | Schulte begins work as a software engineer at the CIA; ends 11/2016 bit.ly/2GFabIh

Apr ??, 2015 | Schulte uploads photos to his computer of an unconscious female being sexually assaulted bit.ly/2GYixLM

Mar ??, 2016 | Schulte illegally gains access to a U.S. intel computer; deletes traces of his activities bit.ly/2GYysIC
May 08, 2016 | Schulte google searches how to set up a TOR network bit.ly/2BJUR95
Nov ??, 2016 | Leaves CIA; moves from Virginia to NYC; begins work as a senior software engineer at Bloomberg bit.ly/2SlnIWM
Nov ??, 2016 | Transports computer containing illicit images of minors across state lines around this time bit.ly/2LROEM0

Mar ??, 2017 | Schulte possesses, accesses, and views illicit images of minors around this time bit.ly/2RDjsp2
Mar 02, 2017 | Schulte says the March 7th dates listed in the Govt's Brody letter are incorrect; should be March 2nd bit.ly/2UwkVvF
Mar 13, 2017 | Search warrant issued for Schulte's NYC apartment bit.ly/2Uvho0L
Mar 13, 2017 | Search warrant issued for Schulte's Google search history bit.ly/2NUT1XR
Mar 15, 2017 | FBI searches Schulte's apartment; 60 devices recovered; possibly also a passport bit.ly/2TuwneP, bit.ly/2ERJsEN
Mar 20, 2017 | FBI receives consent to search Schulte's cell phone bit.ly/2HrzVqT
Mar 23, 2017 | Search warrant executed at Schulte's NYC apartment bit.ly/2GZRmi3
Jun 26, 2017 | Schulte interviewed by the FBI; he asks for the return of his cell phone and desktop PC bit.ly/2F5oUtV, bit.ly/2NWkatj
Aug 23, 2017 | Complaint against Schulte; filed 8/23/17; pdf 14 pages bit.ly/2Qsslx1
Aug 24, 2017 | Schulte arrested at 5:30am EST bit.ly/2Fa3oWe
Sep 06, 2017 | Indictment against Schulte; receipt, possession, and transportation of CP; filed 9/6/17; pdf 6 pages bit.ly/2FeB6sU
Sep 13, 2017 | Schulte arraigned; pleads not guilty; defense proposes bail; Govt opposes; released on bail conditions bit.ly/2CU6iw1
Sep 13, 2017 | Transcript of proceedings #1; filed 10/2/17; pdf 35 pages bit.ly/2CU6iw1
Sep 14, 2017 | Bail conditions announced; Judge Crotty requires $250k bond & 4 co-signers; pdf 2 pages bit.ly/2H0Nvmz
Sep 15, 2017 | Schulte released on bail bit.ly/2GFaZwF
Nov 08, 2017 | Transcript of proceedings #2; Court denies request for bail; filed 11/29/17; pdf 16 pages bit.ly/2RanDt8
Nov 09, 2017 | WikiLeaks releases Vault8 at 12:42am Greenwich time bit.ly/2VRfoQK
Nov 14, 2017 | Assange pings Don Jr. on twitter; mentions CIA leaks, #Vault8 bit.ly/2F4QxmP
Nov 15, 2017 | Schulte charged in Loudoun County with two sex crimes concerning photos taken of his blacked-out roommate bit.ly/2AyXrOJ
Nov 16, 2017 | Schulte instructs his cousin, Shane Presnall, to access TOR on his behalf for purposes unknown bit.ly/2SVv8jz
Nov 17, 2017 | Schulte instructs his cousin, Shane Presnall, to access TOR on his behalf for purposes unknown bit.ly/2SVv8jz
Nov 26, 2017 | Schulte instructs his cousin, Shane Presnall, to access TOR on his behalf for purposes unknown bit.ly/2SVv8jz
Nov 30, 2017 | Schulte instructs his cousin, Shane Presnall, to access TOR on his behalf for purposes unknown bit.ly/2SVv8jz
Dec 05, 2017 | Schulte instructs his cousin, Shane Presnall, to access TOR on his behalf for purposes unknown bit.ly/2SVv8jz
Dec 05, 2017 | Counsel argues Schulte should be transferred to Lubbock, TX, to be near family; pretrial services concurs bit.ly/2CU98kF
Dec 07, 2017 | NYPD arrests Schulte at 6am; charged with sexual assault of his former roommate bit.ly/2VQP0pT, bit.ly/2J3G7rH
Dec 07, 2017 | Govt requests Schulte be reimposed to detention bit.ly/2EQp8Uq; pdf 4 pages bit.ly/2CdSsDA
Dec 14, 2017 | Transcript of proceedings #3; filed 1/9/18; pdf 7 pages bit.ly/2XuVhcK
Dec 14, 2017 | Schulte bail revoked; defendant remanded to custody of U.S. Marshals bit.ly/2FbIN3N

Jan 08, 2018 | Transcript of proceedings #4; filed 1/29/18; pdf 20 pages bit.ly/2IzRqaV
Jan 08, 2018 | Schulte requests bail bit.ly/2FekW2p
Jan 17, 2018 | Schulte's request for bail denied bit.ly/2FekW2p
Mar 15, 2018 | Transcript of proceedings #5; filed 4/16/18; pdf 10 pages bit.ly/2H00YJN
Mar ??, 2018 | Govt produces all of the discovery concerning Schulte's CP over to the defense counsel by March 2018 bit.ly/2HrRMOs
May ??, 2018 | Schulte distributes Protected Search Warrant Materials to family members, who pass it to the media et al bit.ly/2SZu3HP
May 11, 2018 | Transcript of proceedings #6; filed 5/30/18; pdf 16 pages bit.ly/2U5zp5F
May 15, 2018 | News coverage of Schulte; NYTimes archive.is/H0u2p; WaPo archive.is/pyqpl
May 21, 2018 | Transcript of proceedings #7; filed 6/5/18; pdf 8 pages bit.ly/2tBzaDG
Jun 18, 2018 | Superseding indictment; unlawful theft, classified info leak, unauthorized access, lying to FBI; pdf 14p bit.ly/2LVSWBX
Jun 18, 2018 | DOJ press release; charges Schulte with theft & distribution of CIA material bit.ly/2TuWMEU
